nohup: ignoring input
W1015 11:33:29.316000 765755 torch/distributed/run.py:774] 
W1015 11:33:29.316000 765755 torch/distributed/run.py:774] *****************************************
W1015 11:33:29.316000 765755 torch/distributed/run.py:774] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W1015 11:33:29.316000 765755 torch/distributed/run.py:774] *****************************************
Overriding: run = dummy
2025-10-15 11:33:38,523 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 8
2025-10-15 11:33:38,525 - nanochat.checkpoint_manager - [32m[1mINFO[0m - No model tag provided, guessing model tag: d20
2025-10-15 11:33:38,525 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading model from /root/.cache/nanochat/mid_checkpoints/d20 with step 765
2025-10-15 11:33:39,381 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 2048, 'vocab_size': 65536, 'n_layer': 20, 'n_head': 10, 'n_kv_head': 10, 'n_embd': 1280}
Target examples per step: 32
Device batch size: 4
Examples per step is device_batch_size * ddp_world_size: 32
=> Setting grad accum steps: 1
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Muon: Grouping 80 params of shape torch.Size([1280, 1280]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([1280, 5120]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([5120, 1280]), device cuda:0, dtype torch.float32
Step 00000 | Validation loss: 1.077368
Step 00000/00651 | Training loss: 0.937128| lrm: 1.000000| num_tokens: 15,439
Step 00105/00651 | Training loss: 0.936957| lrm: 0.838710| num_tokens: 9,325
Step 00106/00651 | Training loss: 0.790830| lrm: 0.837174| num_tokens: 9,119
Step 00107/00651 | Training loss: 0.845381| lrm: 0.835637| num_tokens: 11,796
Step 00108/00651 | Training loss: 0.973609| lrm: 0.834101| num_tokens: 12,749
Step 00109/00651 | Training loss: 0.976062| lrm: 0.832565| num_tokens: 10,300
Step 00110/00651 | Training loss: 1.025686| lrm: 0.831029| num_tokens: 8,818
Step 00111/00651 | Training loss: 0.979088| lrm: 0.829493| num_tokens: 12,372
Step 00112/00651 | Training loss: 0.657754| lrm: 0.827957| num_tokens: 10,306
Step 00113/00651 | Training loss: 0.893014| lrm: 0.826421| num_tokens: 10,436
Step 00114/00651 | Training loss: 0.746135| lrm: 0.824885| num_tokens: 11,438
Step 00115/00651 | Training loss: 0.769570| lrm: 0.823349| num_tokens: 11,048
Step 00116/00651 | Training loss: 0.659568| lrm: 0.821813| num_tokens: 6,877
Step 00117/00651 | Training loss: 1.239260| lrm: 0.820276| num_tokens: 15,370
Step 00118/00651 | Training loss: 0.777247| lrm: 0.818740| num_tokens: 8,079
Step 00119/00651 | Training loss: 1.197869| lrm: 0.817204| num_tokens: 9,282
Step 00120/00651 | Training loss: 1.073979| lrm: 0.815668| num_tokens: 10,481
Step 00121/00651 | Training loss: 0.912480| lrm: 0.814132| num_tokens: 12,041
Step 00122/00651 | Training loss: 0.993829| lrm: 0.812596| num_tokens: 10,664
Step 00123/00651 | Training loss: 0.870716| lrm: 0.811060| num_tokens: 13,230
Step 00124/00651 | Training loss: 0.499380| lrm: 0.809524| num_tokens: 10,022
Step 00125/00651 | Training loss: 1.110172| lrm: 0.807988| num_tokens: 5,174
Step 00126/00651 | Training loss: 0.940923| lrm: 0.806452| num_tokens: 14,671
Step 00127/00651 | Training loss: 1.046766| lrm: 0.804916| num_tokens: 7,599
Step 00128/00651 | Training loss: 0.831799| lrm: 0.803379| num_tokens: 12,112
Step 00129/00651 | Training loss: 0.921517| lrm: 0.801843| num_tokens: 10,596
Step 00130/00651 | Training loss: 0.904284| lrm: 0.800307| num_tokens: 12,141
Step 00131/00651 | Training loss: 1.030364| lrm: 0.798771| num_tokens: 10,161
Step 00132/00651 | Training loss: 0.782391| lrm: 0.797235| num_tokens: 9,010
Step 00133/00651 | Training loss: 0.784423| lrm: 0.795699| num_tokens: 12,476
Step 00134/00651 | Training loss: 1.057781| lrm: 0.794163| num_tokens: 9,009
Step 00135/00651 | Training loss: 1.201442| lrm: 0.792627| num_tokens: 9,288
Step 00136/00651 | Training loss: 1.486490| lrm: 0.791091| num_tokens: 8,935
Step 00137/00651 | Training loss: 1.408568| lrm: 0.789555| num_tokens: 6,574
Step 00138/00651 | Training loss: 0.564485| lrm: 0.788018| num_tokens: 7,465
Step 00139/00651 | Training loss: 1.100183| lrm: 0.786482| num_tokens: 5,888
Step 00140/00651 | Training loss: 0.704106| lrm: 0.784946| num_tokens: 9,388
Step 00141/00651 | Training loss: 1.392815| lrm: 0.783410| num_tokens: 9,862
Step 00142/00651 | Training loss: 0.635897| lrm: 0.781874| num_tokens: 8,643
Step 00143/00651 | Training loss: 1.048283| lrm: 0.780338| num_tokens: 8,862
Step 00144/00651 | Training loss: 0.923990| lrm: 0.778802| num_tokens: 12,264
Step 00145/00651 | Training loss: 1.142223| lrm: 0.777266| num_tokens: 11,989
Step 00146/00651 | Training loss: 0.849463| lrm: 0.775730| num_tokens: 9,708
Step 00147/00651 | Training loss: 0.752469| lrm: 0.774194| num_tokens: 12,823
Step 00148/00651 | Training loss: 1.240293| lrm: 0.772657| num_tokens: 11,309
Step 00149/00651 | Training loss: 1.332427| lrm: 0.771121| num_tokens: 9,495
Step 00150/00651 | Training loss: 1.430155| lrm: 0.769585| num_tokens: 11,821
Step 00151/00651 | Training loss: 0.885559| lrm: 0.768049| num_tokens: 10,076
Step 00152/00651 | Training loss: 0.898595| lrm: 0.766513| num_tokens: 8,007
Step 00153/00651 | Training loss: 1.149348| lrm: 0.764977| num_tokens: 8,912
Step 00154/00651 | Training loss: 1.042212| lrm: 0.763441| num_tokens: 12,240
Step 00155/00651 | Training loss: 0.768209| lrm: 0.761905| num_tokens: 8,162
Step 00156/00651 | Training loss: 0.759526| lrm: 0.760369| num_tokens: 7,985
Step 00157/00651 | Training loss: 1.197316| lrm: 0.758833| num_tokens: 8,971
Step 00158/00651 | Training loss: 0.837580| lrm: 0.757296| num_tokens: 9,242
Step 00159/00651 | Training loss: 0.602230| lrm: 0.755760| num_tokens: 8,496
Step 00160/00651 | Training loss: 0.894016| lrm: 0.754224| num_tokens: 5,973
Step 00161/00651 | Training loss: 0.796763| lrm: 0.752688| num_tokens: 8,491
Step 00162/00651 | Training loss: 0.631786| lrm: 0.751152| num_tokens: 10,333
Step 00163/00651 | Training loss: 0.870368| lrm: 0.749616| num_tokens: 10,138
Step 00164/00651 | Training loss: 0.992545| lrm: 0.748080| num_tokens: 12,628
Step 00165/00651 | Training loss: 0.581905| lrm: 0.746544| num_tokens: 10,187
Step 00166/00651 | Training loss: 0.950854| lrm: 0.745008| num_tokens: 10,178
Step 00167/00651 | Training loss: 1.067779| lrm: 0.743472| num_tokens: 8,455
Step 00168/00651 | Training loss: 0.952130| lrm: 0.741935| num_tokens: 8,983
Step 00169/00651 | Training loss: 1.104593| lrm: 0.740399| num_tokens: 11,344
Step 00170/00651 | Training loss: 0.847431| lrm: 0.738863| num_tokens: 11,707
Step 00171/00651 | Training loss: 0.542112| lrm: 0.737327| num_tokens: 9,019
Step 00172/00651 | Training loss: 0.783052| lrm: 0.735791| num_tokens: 9,600
Step 00173/00651 | Training loss: 0.609776| lrm: 0.734255| num_tokens: 11,905
Step 00174/00651 | Training loss: 0.811171| lrm: 0.732719| num_tokens: 9,933
Step 00175/00651 | Training loss: 0.687679| lrm: 0.731183| num_tokens: 9,022
Step 00176/00651 | Training loss: 0.868436| lrm: 0.729647| num_tokens: 11,521
Step 00177/00651 | Training loss: 1.099848| lrm: 0.728111| num_tokens: 14,676
Step 00178/00651 | Training loss: 1.092041| lrm: 0.726575| num_tokens: 10,081
Step 00179/00651 | Training loss: 1.386154| lrm: 0.725038| num_tokens: 7,047
Step 00180/00651 | Training loss: 1.383003| lrm: 0.723502| num_tokens: 11,176
Step 00181/00651 | Training loss: 1.215617| lrm: 0.721966| num_tokens: 14,484
Step 00182/00651 | Training loss: 0.775437| lrm: 0.720430| num_tokens: 14,498
Step 00183/00651 | Training loss: 0.970027| lrm: 0.718894| num_tokens: 15,877
Step 00184/00651 | Training loss: 0.891397| lrm: 0.717358| num_tokens: 11,142
Step 00185/00651 | Training loss: 1.176444| lrm: 0.715822| num_tokens: 10,819
Step 00186/00651 | Training loss: 0.752023| lrm: 0.714286| num_tokens: 12,344
Step 00187/00651 | Training loss: 0.940132| lrm: 0.712750| num_tokens: 10,585
Step 00188/00651 | Training loss: 0.863392| lrm: 0.711214| num_tokens: 10,822
Step 00189/00651 | Training loss: 1.281935| lrm: 0.709677| num_tokens: 9,051
Step 00190/00651 | Training loss: 0.752394| lrm: 0.708141| num_tokens: 12,361
Step 00191/00651 | Training loss: 0.440853| lrm: 0.706605| num_tokens: 13,431
Step 00192/00651 | Training loss: 0.775096| lrm: 0.705069| num_tokens: 6,242
Step 00193/00651 | Training loss: 0.702279| lrm: 0.703533| num_tokens: 10,454
Step 00194/00651 | Training loss: 0.942527| lrm: 0.701997| num_tokens: 9,798
Step 00195/00651 | Training loss: 0.853132| lrm: 0.700461| num_tokens: 10,987
Step 00196/00651 | Training loss: 0.663893| lrm: 0.698925| num_tokens: 11,772
Step 00197/00651 | Training loss: 1.069339| lrm: 0.697389| num_tokens: 8,944
Step 00198/00651 | Training loss: 0.825694| lrm: 0.695853| num_tokens: 11,163
Step 00199/00651 | Training loss: 0.621482| lrm: 0.694316| num_tokens: 7,834
Step 00200 | Validation loss: 1.068913
Final: 303/1024 (29.59%)
Final: 316/1024 (30.86%)
[KRank 6 | 1/1 (100.00%)[KRank 0 | 0/1 (0.00%)[KRank 7 | 0/1 (0.00%)[KRank 3 | 0/1 (0.00%)[KRank 6 | 1/2 (50.00%)[KRank 7 | 0/2 (0.00%)[KRank 0 | 0/2 (0.00%)[KRank 2 | 0/1 (0.00%)[KRank 3 | 1/2 (50.00%)[KRank 1 | 0/1 (0.00%)[KRank 6 | 1/3 (33.33%)[KRank 0 | 0/3 (0.00%)[KRank 3 | 1/3 (33.33%)[KRank 7 | 0/3 (0.00%)[KRank 0 | 0/4 (0.00%)[KRank 7 | 0/4 (0.00%)[KRank 6 | 1/4 (25.00%)[KRank 3 | 1/4 (25.00%)[KRank 5 | 0/1 (0.00%)[KRank 6 | 1/5 (20.00%)[KRank 0 | 0/5 (0.00%)[KRank 7 | 0/5 (0.00%)[KRank 1 | 0/2 (0.00%)[KRank 7 | 0/6 (0.00%)[KRank 1 | 0/3 (0.00%)[KRank 6 | 1/6 (16.67%)[KRank 4 | 0/1 (0.00%)[KRank 7 | 0/7 (0.00%)[KRank 6 | 1/7 (14.29%)[KRank 2 | 0/2 (0.00%)[KRank 6 | 1/8 (12.50%)
[KRank 1 | 0/4 (0.00%)[KRank 2 | 1/3 (33.33%)[KRank 1 | 0/5 (0.00%)[KRank 7 | 0/8 (0.00%)
[KRank 4 | 1/2 (50.00%)[KRank 5 | 0/2 (0.00%)[KRank 1 | 0/6 (0.00%)[KRank 3 | 1/5 (20.00%)[KRank 5 | 0/3 (0.00%)[KRank 5 | 0/4 (0.00%)[KRank 0 | 0/6 (0.00%)[KRank 3 | 1/6 (16.67%)[KRank 0 | 0/7 (0.00%)[KRank 0 | 0/8 (0.00%)
[KRank 3 | 1/7 (14.29%)[KRank 3 | 1/8 (12.50%)
[KRank 2 | 1/4 (25.00%)[KRank 5 | 0/5 (0.00%)[KRank 4 | 1/3 (33.33%)[KRank 2 | 1/5 (20.00%)[KRank 1 | 0/7 (0.00%)[KRank 2 | 1/6 (16.67%)[KRank 5 | 0/6 (0.00%)[KRank 2 | 1/7 (14.29%)[KRank 5 | 0/7 (0.00%)[KRank 4 | 1/4 (25.00%)[KRank 5 | 0/8 (0.00%)
[KRank 4 | 1/5 (20.00%)[KRank 4 | 1/6 (16.67%)[KRank 1 | 0/8 (0.00%)
[KRank 2 | 1/8 (12.50%)
[KRank 4 | 1/7 (14.29%)[KRank 4 | 1/8 (12.50%)
==================================================
Final: 4/64 (6.25%)
[KRank 2 | 1/1 (100.00%)[KRank 0 | 0/1 (0.00%)[KRank 5 | 0/1 (0.00%)[KRank 6 | 0/1 (0.00%)[KRank 2 | 1/2 (50.00%)[KRank 5 | 0/2 (0.00%)[KRank 3 | 0/1 (0.00%)[KRank 1 | 0/1 (0.00%)[KRank 0 | 0/2 (0.00%)[KRank 6 | 0/2 (0.00%)[KRank 7 | 0/1 (0.00%)[KRank 5 | 0/3 (0.00%)[KRank 0 | 0/3 (0.00%)[KRank 7 | 1/2 (50.00%)[KRank 4 | 0/1 (0.00%)[KRank 6 | 0/3 (0.00%)[KRank 3 | 0/2 (0.00%)[KRank 5 | 0/4 (0.00%)[KRank 7 | 1/3 (33.33%)[KRank 2 | 1/3 (33.33%)[KRank 1 | 0/2 (0.00%)[KRank 3 | 0/3 (0.00%)[KRank 6 | 0/4 (0.00%)[KRank 5 | 0/5 (0.00%)[KRank 2 | 1/4 (25.00%)[KRank 5 | 1/6 (16.67%)[KRank 0 | 0/4 (0.00%)[KRank 3 | 0/4 (0.00%)[KRank 4 | 0/2 (0.00%)[KRank 1 | 0/3 (0.00%)[KRank 2 | 1/5 (20.00%)[KRank 5 | 1/7 (14.29%)[KRank 0 | 0/5 (0.00%)[KRank 7 | 1/4 (25.00%)[KRank 2 | 1/6 (16.67%)[KRank 1 | 0/4 (0.00%)[KRank 0 | 0/6 (0.00%)[KRank 6 | 0/5 (0.00%)[KRank 2 | 1/7 (14.29%)[KRank 1 | 0/5 (0.00%)[KRank 0 | 0/7 (0.00%)[KRank 3 | 0/5 (0.00%)[KRank 4 | 0/3 (0.00%)[KRank 5 | 1/8 (12.50%)
[KRank 1 | 0/6 (0.00%)[KRank 0 | 0/8 (0.00%)
[KRank 7 | 1/5 (20.00%)[KRank 3 | 0/6 (0.00%)[KRank 1 | 1/7 (14.29%)[KRank 3 | 0/7 (0.00%)[KRank 2 | 1/8 (12.50%)
[KRank 6 | 0/6 (0.00%)[KRank 3 | 0/8 (0.00%)
[KRank 7 | 1/6 (16.67%)[KRank 4 | 0/4 (0.00%)[KRank 6 | 0/7 (0.00%)[KRank 7 | 1/7 (14.29%)[KRank 1 | 1/8 (12.50%)
[KRank 6 | 0/8 (0.00%)
[KRank 7 | 1/8 (12.50%)
[KRank 4 | 0/5 (0.00%)[KRank 4 | 0/6 (0.00%)[KRank 4 | 0/7 (0.00%)[KRank 4 | 0/8 (0.00%)
==================================================
Final: 4/64 (6.25%)
Step 00200 | mmlu_acc: 0.295898, arc_easy_acc: 0.308594, gsm8k_acc: 0.062500, humaneval_acc: 0.062500
Step 00200/00651 | Training loss: 1.172737| lrm: 0.692780| num_tokens: 15,429
Step 00201/00651 | Training loss: 0.990720| lrm: 0.691244| num_tokens: 13,867
Step 00202/00651 | Training loss: 1.194885| lrm: 0.689708| num_tokens: 7,064
Step 00203/00651 | Training loss: 1.114183| lrm: 0.688172| num_tokens: 9,197
Step 00204/00651 | Training loss: 0.710931| lrm: 0.686636| num_tokens: 10,899
Step 00205/00651 | Training loss: 1.205879| lrm: 0.685100| num_tokens: 12,914
Step 00206/00651 | Training loss: 1.003503| lrm: 0.683564| num_tokens: 13,463
Step 00207/00651 | Training loss: 1.050506| lrm: 0.682028| num_tokens: 11,750
Step 00208/00651 | Training loss: 0.549075| lrm: 0.680492| num_tokens: 9,905
Step 00209/00651 | Training loss: 0.917026| lrm: 0.678955| num_tokens: 10,794
Step 00210/00651 | Training loss: 1.035309| lrm: 0.677419| num_tokens: 8,362
Step 00211/00651 | Training loss: 0.765525| lrm: 0.675883| num_tokens: 10,282
Step 00212/00651 | Training loss: 1.103279| lrm: 0.674347| num_tokens: 15,687
Step 00213/00651 | Training loss: 1.021755| lrm: 0.672811| num_tokens: 13,662
Step 00214/00651 | Training loss: 0.812532| lrm: 0.671275| num_tokens: 10,486
Step 00215/00651 | Training loss: 1.046856| lrm: 0.669739| num_tokens: 13,922
Step 00216/00651 | Training loss: 0.873064| lrm: 0.668203| num_tokens: 12,848
Step 00217/00651 | Training loss: 0.695348| lrm: 0.666667| num_tokens: 13,594
Step 00218/00651 | Training loss: 0.506297| lrm: 0.665131| num_tokens: 14,643
Step 00219/00651 | Training loss: 1.101032| lrm: 0.663594| num_tokens: 10,606
Step 00220/00651 | Training loss: 0.968547| lrm: 0.662058| num_tokens: 10,426
Step 00221/00651 | Training loss: 0.564048| lrm: 0.660522| num_tokens: 9,644
Step 00222/00651 | Training loss: 1.044107| lrm: 0.658986| num_tokens: 14,785
Step 00223/00651 | Training loss: 0.855576| lrm: 0.657450| num_tokens: 7,587
Step 00224/00651 | Training loss: 1.244120| lrm: 0.655914| num_tokens: 13,595
Step 00225/00651 | Training loss: 0.687018| lrm: 0.654378| num_tokens: 10,403
Step 00226/00651 | Training loss: 1.387992| lrm: 0.652842| num_tokens: 8,132
Step 00227/00651 | Training loss: 1.667534| lrm: 0.651306| num_tokens: 6,353
Step 00228/00651 | Training loss: 0.890851| lrm: 0.649770| num_tokens: 13,461
Step 00229/00651 | Training loss: 0.747767| lrm: 0.648233| num_tokens: 10,078
Step 00230/00651 | Training loss: 1.139614| lrm: 0.646697| num_tokens: 10,506
Step 00231/00651 | Training loss: 0.802407| lrm: 0.645161| num_tokens: 10,366
Step 00232/00651 | Training loss: 1.067435| lrm: 0.643625| num_tokens: 12,840
